name,y,x,v_nom,substation_lv
Scandinavia,59.2476149344833,15.466440540113213,380.0,True
Britain,52.760324280863344,-2.0522978395932245,380.0,True
Benelux,51.560377843775434,4.97773549125768,380.0,True
France,47.123369318628995,2.6805478522224,380.0,True
Iberia,39.69088825075306,-4.477174255822686,380.0,True
Italy,42.878891770737,12.129225229323998,380.0,True
Alps,47.4156509475198,11.489367759396865,380.0,True
Germany,50.846581236183994,9.6860092676237,380.0,True
Baltic,52.44972372215583,20.10670309750793,380.0,True
Walachei,46.43234700131597,22.094139047985397,380.0,True
Balkan,41.301688230282686,20.379940898558008,380.0,True
