name,carrier,bus,marginal_cost,p_nom_extendable,capital_cost
Scandinavia OCGT,OCGT,Scandinavia,168.49491059586776,True,49400.0
Scandinavia wind,wind,Scandinavia,0.01,True,127450.0
Scandinavia solarPV,solarPV,Scandinavia,0.01,True,61550.0
Scandinavia coal,coal,Scandinavia,198.40143400924057,True,145000.0
Britain OCGT,OCGT,Britain,132.45954176028093,True,49400.0
Britain wind,wind,Britain,0.01,True,127450.0
Britain solarPV,solarPV,Britain,0.01,True,61550.0
Britain coal,coal,Britain,141.65282166973373,True,145000.0
Benelux OCGT,OCGT,Benelux,148.6771890232285,True,49400.0
Benelux wind,wind,Benelux,0.01,True,127450.0
Benelux solarPV,solarPV,Benelux,0.01,True,61550.0
Benelux coal,coal,Benelux,167.19242365862755,True,145000.0
France OCGT,OCGT,France,124.42658515205088,True,49400.0
France wind,wind,France,0.01,True,127450.0
France solarPV,solarPV,France,0.01,True,61550.0
France coal,coal,France,129.00249630244232,True,145000.0
Iberia OCGT,OCGT,Iberia,95.48665148257051,True,49400.0
Iberia wind,wind,Iberia,0.01,True,127450.0
Iberia solarPV,solarPV,Iberia,0.01,True,61550.0
Iberia coal,coal,Iberia,83.42779761034726,True,145000.0
Italy OCGT,OCGT,Italy,107.57448410322752,True,49400.0
Italy wind,wind,Italy,0.01,True,127450.0
Italy solarPV,solarPV,Italy,0.01,True,61550.0
Italy coal,coal,Italy,102.4637544932717,True,145000.0
Alps OCGT,OCGT,Alps,184.3655953280603,True,49400.0
Alps wind,wind,Alps,0.01,True,127450.0
Alps solarPV,solarPV,Alps,0.01,True,61550.0
Alps coal,coal,Alps,223.39463831190596,True,145000.0
Germany OCGT,OCGT,Germany,140.30378785651524,True,49400.0
Germany wind,wind,Germany,0.01,True,127450.0
Germany solarPV,solarPV,Germany,0.01,True,61550.0
Germany coal,coal,Germany,154.00596512837046,True,145000.0
Baltic OCGT,OCGT,Baltic,64.3665568202287,True,49400.0
Baltic wind,wind,Baltic,0.01,True,127450.0
Baltic solarPV,solarPV,Baltic,0.01,True,61550.0
Baltic coal,coal,Baltic,34.419774520045195,True,145000.0
Walachei OCGT,OCGT,Walachei,63.178141435730225,True,49400.0
Walachei wind,wind,Walachei,0.01,True,127450.0
Walachei solarPV,solarPV,Walachei,0.01,True,61550.0
Walachei coal,coal,Walachei,32.54825422949642,True,145000.0
Balkan OCGT,OCGT,Balkan,58.385,True,49400.0
Balkan wind,wind,Balkan,0.01,True,127450.0
Balkan solarPV,solarPV,Balkan,0.01,True,61550.0
Balkan coal,coal,Balkan,25.0,True,145000.0
