name,bus0,bus1,p_min_pu,p_nom
1,Iberia,France,-1.0,8000.0
2,France,Benelux,-1.0,4300.0
3,France,Britain,-1.0,5400.0
4,France,Italy,-1.0,4350.0
5,France,Alps,-1.0,3700.0
6,France,Germany,-1.0,4800.0
7,Scandinavia,Britain,-1.0,1400.0
8,Scandinavia,Germany,-1.0,6715.0
9,Scandinavia,Baltic,-1.0,2300.0
10,Benelux,Germany,-1.0,8300.0
11,Italy,Alps,-1.0,7895.0
12,Italy,Balkan,-1.0,1880.0
13,Alps,Germany,-1.0,12200.0
14,Alps,Balkan,-1.0,1200.0
15,Alps,Walachei,-1.0,2200.0
16,Germany,Baltic,-1.0,3000.0
17,Germany,Walachei,-1.0,2600.0
18,Baltic,Walachei,-1.0,1590.0
19,Walachei,Balkan,-1.0,6378.0
20,Benelux,Britain,-1.0,2000.0
21,Benelux,Scandinavia,-1.0,1400.0
